,Line_Lyrics,NumWords,Normalize_Lyrics
3170,now im running for my life,6,now running for life
3171,been too many miles,4,been too many miles
3172,tryna find the road to you,6,tryna find the road you
3173,cause you you just wanna drive,6,cause you you just wanna drive
3174,with no place in mind,5,with place mind
3175,where the hell we going to oh ,7,where the hell going
3176,im running running,3,running running
3177,got me running running ooh,5,got running running ooh
3178,im running running,3,running running
3179,got me running running ooh,5,got running running ooh
3180,im running running,3,running running
3181,got me running running ooh,5,got running running ooh
3182,im running running,3,running running
3183,got me running running ooh,5,got running running ooh
3184,so watch it blow when i let it go,9,watch blow when let
3185,when i cut this rope and run run,8,when cut this rope and run run
3186,by the time you wake itll be too late,9,the time you wake itll too late
3187,now the bullets left the gun yeah,7,now the bullets left the gun yeah
3188,now im running for my life,6,now running for life
3189,been too many miles,4,been too many miles
3190,tryna find the road to you,6,tryna find the road you
3191,cause you you just wanna drive,6,cause you you just wanna drive
3192,with no place in mind,5,with place mind
3193,where the hell we going to oh ,7,where the hell going
3194,im running running,3,running running
3195,got me running running ooh,5,got running running ooh
3196,im running running,3,running running
3197,got me running running ooh,5,got running running ooh
3198,im running running,3,running running
3199,got me running running ooh,5,got running running ooh
3200,im running running,3,running running
3201,got me running running ooh,5,got running running ooh
3202,what would you do ,4,what would you
3203,what would you do if i handed you a drug thatd teach you something new ,15,what would you handed you drug thatd teach you something new
3204,what would you feel ,4,what would you feel
3205,what would you feel if i took over the fake and made them all real ,15,what would you feel took over the fake and made them all real
3206,what would you say ,4,what would you say
3207,what would you say if i told you its actually gon be a good day ,15,what would you say told you its actually gon good day
3208,maybe all things happen for a reason,7,maybe all things happen for reason
3209,you just need to get over this dry season,9,you just need get over this dry season
3210,but the only drug you need is believing,8,but the only drug you need believing
3211,maybe god does answer all your prayers,7,maybe god does answer all your prayers
3212,maybe need to let go of the fear,8,maybe need let the fear
3213,of being let down from the people you keep near,10,being let down from the people you keep near
3214,maybe its because youre running low on gear,8,maybe its because youre running low gear
3215,maybe god does answer all your prayers,7,maybe god does answer all your prayers
3216,what do you need ,4,what you need
3217,what do you need to show you theres better things to life than good weed ,15,what you need show you theres better things life than good weed
3218,what do you hear ,4,what you hear
3219,what do you hear ,4,what you hear
3220,what do you hear when i tell you im always near ,11,what you hear when tell you always near
3221,i made it pretty clear,5,made pretty clear
3222,what do you see ,4,what you see
3223,what do you see when you find out the best things in life are all free ,16,what you see when you find out the best things life are all free
3224,you got a friend in me,6,you got friend
3225,maybe all things happen for a reason,7,maybe all things happen for reason
3226,you just need to get over this dry season,9,you just need get over this dry season
3227,but the only drug you need is believing,8,but the only drug you need believing
3228,maybe god does answer all your prayers,7,maybe god does answer all your prayers
3229,maybe need to let go of the fear,8,maybe need let the fear
3230,of being let down from the people you keep near,10,being let down from the people you keep near
3231,maybe its because youre running low on gear,8,maybe its because youre running low gear
3232,maybe god does answer all your prayers,7,maybe god does answer all your prayers
3233,and im still here,4,and still here
3234,and im holding hard onto your hand,7,and holding hard onto your hand
3235,but it still feels,4,but still feels
3236,like youre never gonna understand,5,like youre never gonna understand
3237,one can drown alone but we can swim together,9,one can drown alone but can swim together
3238,maybe all things happen for a reason,7,maybe all things happen for reason
3239,you just need to get over this dry season,9,you just need get over this dry season
3240,but the only drug you need is believing,8,but the only drug you need believing
3241,maybe god does answer all your prayers,7,maybe god does answer all your prayers
3242,and let go of the fear,6,and let the fear
3243,of being let down from the people you keep near,10,being let down from the people you keep near
3244,is it because youre running low on gear ,8,because youre running low gear
3245,maybe god does answer all your prayers,7,maybe god does answer all your prayers
3246,i see the lights,4,see the lights
3247,dancing dancing in your eyes,5,dancing dancing your eyes
3248,so how do i begin to tell you now,9,how begin tell you now
3249,that i can be the one to bring your angel out ,11,that can the one bring your angel out
3250,in this life of sin,5,this life sin
3251,i can be your muse i can be your ally,10,can your muse can your ally
3252,i can be your moon i can be your sacrifice,10,can your moon can your sacrifice
3253,i can be forever little touch of heaven tonight,9,can forever little touch heaven tonight
3254,put your hands together and close your eyes,8,put your hands together and close your eyes
3255,tell me you believe get down on your knees,9,tell you believe get down your knees
3256,they say love is religion so say a prayer with me,11,they say love religion say prayer with
3257,i dont wanna preach but i m all that you need,11,dont wanna preach but all that you need
3258,they say love is religion so say a prayer with me,11,they say love religion say prayer with
3259,theres a fire,3,theres fire
3260,rising in my heart like a choir,7,rising heart like choir
3261,i can hear them singing our favourite song,8,can hear them singing our favourite song
3262,the one that played while i was layin in your arms,11,the one that played while was layin your arms
3263,just let me stay in your arms cause,8,just let stay your arms cause
3264,i can be your gold i can be your delight,10,can your gold can your delight
3265,i can feed your soul i can be your sacrifice,10,can feed your soul can your sacrifice
3266,i can be forever little touch of heaven for life,10,can forever little touch heaven for life
3267,put your hands together and close your eyes,8,put your hands together and close your eyes
3268,tell me you believe get down on your knees,9,tell you believe get down your knees
3269,they say love is religion so say a prayer with me,11,they say love religion say prayer with
